0.71249	0.54298	0.94509	0.68000	0.13000	0.99000	2.44270
0.71117	0.53089	0.93230	0.66000	0.11800	0.99000	2.44270
0.70981	0.51840	0.91949	0.63000	0.10480	0.99000	2.44270
0.70843	0.50553	0.90666	0.61000	0.09000	0.99000	2.44270
0.70701	0.49213	0.89380	0.58000	0.07700	0.99000	2.44270
0.70555	0.47813	0.88092	0.54000	0.06300	0.99000	2.44270
0.70406	0.46343	0.86802	0.50500	0.05000	0.99000	2.44270
0.79251	0.44790	0.85508	0.46000	0.03690	0.99000	2.44270
0.70092	0.43137	0.84211	0.41000	0.02370	0.99000	2.44270
0.69900	0.41365	0.82910	0.37000	0.01620	0.99000	2.44270
0.70400	0.42485	0.84451	0.32200	0.02280	0.99000	2.44270
0.71230	0.45000	0.87000	0.27260	0.02480	0.99000	2.44270
0.72000	0.48000	0.89000	0.22330	0.02440	0.99000	2.44270
0.72800	0.52000	0.92000	0.17690	0.02230	0.99000	2.44270
0.73702	0.58000	0.95000	0.13440	0.01910	0.99000	2.44270
