1.8320E+00	6.4569E+06	3.7114E+01	3.0681E-01	2.9143E-01	1.7315E+01	3.0045E+03	1.6400E+03	5.7800E+09	3.3180E+03	1.4000E+02	1
1.8816E+00	6.5538E+06	3.8366E+01	3.0407E-01	2.8568E-01	1.5103E+01	3.0421E+03	1.6168E+03	5.6314E+09	3.3190E+03	1.4000E+02	1
1.9084E+00	6.6803E+06	3.7665E+01	2.9884E-01	2.8127E-01	1.3286E+01	3.0857E+03	1.6170E+03	5.6603E+09	3.3200E+03	1.4000E+02	1
1.9014E+00	6.6818E+06	3.5242E+01	2.9207E-01	2.7293E-01	1.2571E+01	3.0864E+03	1.6232E+03	5.7041E+09	3.3210E+03	1.4000E+02	1
1.8633E+00	6.6080E+06	3.2222E+01	2.9211E-01	2.6482E-01	1.3527E+01	3.0524E+03	1.6381E+03	5.8093E+09	3.3220E+03	1.4000E+02	1
1.8278E+00	6.5696E+06	2.8103E+01	2.9039E-01	2.6179E-01	1.4576E+01	3.0346E+03	1.6602E+03	5.9671E+09	3.3230E+03	1.4000E+02	1
1.8037E+00	6.7084E+06	2.1220E+01	2.8519E-01	2.6264E-01	1.5532E+01	3.0675E+03	1.7007E+03	6.3254E+09	3.3240E+03	1.4000E+02	1
1.7973E+00	6.9219E+06	1.9404E+01	2.4617E-01	2.7277E-01	1.7720E+01	3.1574E+03	1.7568E+03	6.7661E+09	3.3250E+03	1.4000E+02	1
1.8140E+00	7.1050E+06	1.8181E+01	2.3903E-01	2.7925E-01	1.9961E+01	3.2409E+03	1.7866E+03	6.9978E+09	3.3260E+03	1.4000E+02	1
1.8393E+00	7.0766E+06	1.8567E+01	3.0055E-01	2.8443E-01	1.8992E+01	3.2279E+03	1.7549E+03	6.7519E+09	3.3270E+03	1.4000E+02	1
1.8375E+00	6.8411E+06	2.1482E+01	3.1174E-01	2.9046E-01	1.8338E+01	3.1205E+03	1.6982E+03	6.3225E+09	3.3280E+03	1.4000E+02	1
1.8231E+00	6.3934E+06	2.7481E+01	3.2679E-01	2.9257E-01	1.8258E+01	2.9961E+03	1.6435E+03	5.7636E+09	3.3290E+03	1.4000E+02	1
1.7978E+00	6.2070E+06	3.5004E+01	3.2218E-01	2.8677E-01	1.5591E+01	2.9087E+03	1.6180E+03	5.5862E+09	3.3300E+03	1.4000E+02	1
1.7771E+00	6.1368E+06	4.1281E+01	3.0893E-01	2.7121E-01	1.0985E+01	2.8759E+03	1.6183E+03	5.5886E+09	3.3310E+03	1.4000E+02	1
1.7993E+00	6.2250E+06	4.7827E+01	3.0328E-01	2.4144E-01	7.3246E+00	2.9172E+03	1.6213E+03	5.6089E+09	3.3320E+03	1.4000E+02	1
1.8293E+00	6.5664E+06	5.2439E+01	2.9681E-01	2.1586E-01	5.2338E+00	2.9442E+03	1.6095E+03	5.7772E+09	3.3330E+03	1.4000E+02	1
